med_mass_1 med_mass_2 med_lum_dist log_D_AB
1.507049762054152708e+01 1.366935360550577094e+01 4.904875545059354408e+03 -1.282854607076847309e+01
9.997565629615213112e+00 9.218143415287741504e+00 9.366827260408564371e+02 -2.010030525341691998e+01
8.579443007263442666e+00 7.650749764876250580e+00 9.001671510880732967e+02 -2.688321751625593237e+01
2.297243105576952757e+02 1.581421149996648978e+02 5.584426283226474334e+04 2.917312957098253889e+00
7.763235494644698420e+00 7.191034079571821280e+00 9.776842423690027317e+02 -3.023320207038737806e+01
2.274874162017464130e+01 2.077483697927418760e+01 8.286387355376611595e+03 -6.769866662399376622e+00
2.371570388953926667e+01 2.046984150586642670e+01 9.441036393733086243e+02 -1.768947388512454921e+00
2.009878953842363103e+01 1.646618358460170839e+01 6.647099012091755867e+03 -7.644105949401051703e+00
9.686373538568121333e+00 6.853901717752602707e+00 1.002338363030642540e+03 -2.061067244593331083e+01
9.651033429964417820e+00 9.230021658764353987e+00 8.470366477647985448e+02 -2.190854917522009160e+01
1.530101473851578220e+01 1.415429935404815076e+01 5.132090816298321442e+03 -1.238992552182248019e+01
1.042897426444985953e+01 9.878721098490450103e+00 1.037339257241627365e+03 -1.819478321019029821e+01
2.287374307653077565e+01 2.017840262985701472e+01 2.010817105488333618e+04 -1.052801206726175209e+01
4.678902564261996844e+01 3.008800875269162844e+01 4.092002800816568197e+04 -6.426128784721885978e+00
9.653618461468537859e+00 7.015654430208086545e+00 9.088439476936152914e+02 -2.107339524211975501e+01
3.057920624496542672e+01 2.548984431076302570e+01 2.286754974748413952e+04 -8.570825043564536116e+00
3.964905642306324296e+01 2.762987450714544480e+01 3.361659696255678136e+04 -7.562522900005259174e+00
9.654025075309331072e+00 6.886286037317863595e+00 8.574160961562507737e+02 -2.098495540324539377e+01
9.422662498027985833e+00 7.028285118977336765e+00 1.117558485138864853e+03 -2.124683398617103691e+01
2.420878123770107493e+01 1.948330638480650379e+01 1.196415908402579589e+04 -7.342675121374490743e+00
9.462670967622255347e+00 6.953018459052046296e+00 9.432490383435056174e+02 -2.172956157082926865e+01
9.349703316574002443e+00 7.101582691673358205e+00 9.376457562490885493e+02 -2.279801056886728006e+01
3.460828028964160552e+01 2.403033063149637272e+01 2.513692008507884748e+04 -7.963219096632034422e+00
8.561343776617377443e+00 7.452831694889448855e+00 8.188765930817100980e+02 -2.627710829404836446e+01
7.816624946316975020e+00 7.062738910228048894e+00 9.917258153408126873e+02 -2.993113702544959054e+01
3.481837607858878414e+01 2.393729815028844143e+01 1.705622076760770869e+04 -5.976399199757384650e+00
1.842433053427371306e+02 1.428102312930902258e+02 5.636755085151212552e+04 2.324247018486513383e+00
3.875736114189243864e+01 3.265666285604589092e+01 2.084432064345923573e+04 -5.905232475435116868e+00
1.960891638385834028e+02 1.450705090934879991e+02 4.336364426117525727e+04 2.454132056121185457e+00
