med_mass_1 med_mass_2 med_lum_dist log_D_AB
8.607194474357693252e+02 6.831009797984994520e+02 3.841794984017935349e+04 8.879931433961228748e+00
1.906882315245777022e+02 1.674718401742918559e+02 3.443216412639868213e+04 2.414041732852286515e+00
1.302812641403479006e+02 1.077254234500369137e+02 2.972992494368707776e+04 1.589070501020529491e+00
2.427328067326171777e+02 1.299637296056176297e+02 4.641357794711129827e+04 3.203386735453133127e+00
4.712521357219985703e+02 3.474865054910090407e+02 1.115836882044690428e+05 4.947094521324896021e+00
1.488967930443218961e+02 1.010321369822923145e+02 2.604785405274069126e+04 1.994281107207481085e+00
1.184555644582403318e+02 4.738849669092900285e+01 2.072851559622339119e+04 2.527028750778594457e+00
2.308025563995213076e+02 1.792369912346820229e+02 7.970801067066956603e+04 2.930286400136434821e+00
2.061025264347830444e+02 1.018695832775615884e+02 4.654989518008152663e+04 2.181301232577990135e+00
6.498659475995583534e+01 2.998130605672477600e+01 2.120177292222567485e+04 1.978219217811769681e-01
5.786604317797321073e+02 4.531029214826337466e+02 1.159819933956055320e+05 5.706095767788600170e+00
6.142276430674710497e+01 3.475633627346947918e+01 3.146635802495090957e+03 1.930420386880555839e+00
6.264413527367703693e+01 4.687276678706301425e+01 1.138380930061511754e+04 6.590431755086214594e-01
4.149318884392300788e+02 3.041178290411154990e+02 7.666694012017571367e+04 4.300520701288476744e+00
6.538312880942293077e+02 5.124412911527415417e+02 1.520329084835524263e+05 6.508648426197833459e+00
2.426899704252627146e+02 1.575989173210019771e+02 4.743492890874015575e+04 3.046063613727334030e+00
4.140388033545387998e+02 3.537571253004674645e+02 8.249436106260214001e+04 4.610643046552603153e+00
1.391004690471227718e+02 1.191421503281129759e+02 2.313151817799593482e+04 1.948357499011461158e+00
2.689020541209343946e+02 2.369087707306742629e+02 4.703771064363658661e+04 3.919537614560447025e+00
3.006953216671287237e+02 2.049179118032282076e+02 7.053722813019911700e+04 3.725538720420402683e+00
9.274481901596136879e+01 8.287688181278379318e+01 9.335136586195854761e+03 2.023514347413126302e+00
3.153671457886802045e+02 2.539046686240170061e+02 5.760972376984266884e+04 4.017333667135311259e+00
2.839047031338137685e+02 2.195803152643387079e+02 8.998490747074357932e+04 3.910646077649946761e+00
8.194325902889205508e+02 6.760672831682240940e+02 1.287462301102485508e+05 9.205748413251122031e+00
1.347260155283654512e+02 1.072996618455185569e+02 3.064416668354425929e+04 1.525974126459306746e+00
8.476540719258284184e+01 7.701915988705444249e+01 1.392093537027150523e+04 1.375861137904617948e+00
4.743508794743341923e+02 3.074154655916374281e+02 5.848604564298618789e+04 4.214813040547664258e+00
1.539775839867221237e+02 9.186418719245639863e+01 3.065582970588492390e+04 2.102132357300614984e+00
2.547337655229726181e+02 9.310800881502029824e+01 5.838668989318522654e+04 2.865624865741473570e+00
1.374573508474677794e+02 2.931822194387744318e+01 1.868094743336291867e+04 2.905259653044069523e+00
1.003594278108014635e+02 2.679716148252227015e+01 2.529089810143210343e+04 1.171041252660728560e+00
2.694108436789998677e+02 8.563241232119800372e+01 4.342230812228360446e+04 3.791555039687601436e+00
1.515123022112668423e+02 1.236530885413615124e+02 1.916086333716840454e+04 2.543766389241707060e+00
6.102944255656612995e+02 4.217194453416258284e+02 1.539761588284376194e+05 5.919762325026052707e+00
1.784646054017538006e+02 6.667413413370675812e+01 2.674852049025271845e+04 2.855646772082817364e+00
4.463396802385167348e+02 1.217537001822034881e+02 7.713344710917620978e+04 4.396915034581596160e+00
3.410391886579559468e+02 1.906587426604392306e+02 5.042470079741530935e+04 3.622779805581821222e+00
4.473807815578643954e+02 2.502818117456549771e+02 1.019208391631903360e+05 3.935038352963363906e+00
3.754684597365687750e+02 2.813378269486908039e+02 6.870823995044062031e+04 4.319852763850313693e+00
1.528084851273195852e+02 1.094687782697893823e+02 2.601103248300348787e+04 2.158607353714906196e+00
5.139365841827636814e+02 3.645894431255424024e+02 1.280678572665829561e+05 5.172370676324845817e+00
1.547220876606270963e+02 7.238739390046966093e+01 2.265674397494801451e+04 2.344527608517910977e+00
