med_mass_1 med_mass_2 med_lum_dist p_PopIII
3.548440251671901819e+02 2.762269890631764611e+02 4.782138290037856495e+04 9.125086669921874671e-01
6.629677008404290461e+01 4.752374967072579182e+01 6.737073481493496729e+03 9.331710205078125320e-01
1.350029045601316966e+02 4.708478432152941195e+01 2.692174414813836484e+04 9.428625488281250355e-01
3.163245259977040291e+02 2.661074718685787275e+02 8.100813698127964744e+04 9.066540527343750488e-01
2.653436912597082369e+02 2.404184178445447060e+02 7.359294153460043890e+04 8.905186767578124885e-01
3.475164362179464916e+01 1.199300280281099162e+01 3.474003811239426796e+03 9.428693847656249849e-01
4.865877221476280283e+02 3.018183919484337139e+02 9.380824120609404054e+04 9.004405517578124574e-01
4.532483510252646965e+02 3.735869748453434340e+02 9.399008784362807637e+04 9.312070312500000391e-01
1.808146522401426921e+02 1.701804768042565001e+02 1.995629980956005602e+04 7.856691894531250275e-01
7.366857245073408933e+01 5.365234131043795429e+01 4.643202426886274225e+03 8.194231567382812553e-01
3.047663311374485033e+02 1.567472080891923270e+02 5.453003954617291311e+04 9.341390380859374565e-01
3.009078702144308437e+01 9.464569879710511557e+00 2.458811582265542711e+03 8.673533325195312838e-01
3.679225427180144266e+02 3.009052234666360164e+02 8.937708024998931796e+04 8.893547363281250062e-01
5.299008770781928206e+02 4.454248459262378788e+02 4.420845158384263050e+04 9.837057495117187411e-01
1.537537028749494539e+02 1.466649196285329992e+02 2.386940373724345773e+04 8.985969848632812118e-01
1.503581700961768206e+02 8.004956013644155632e+01 3.718323802377168613e+04 8.506347656249999556e-01
9.450096108801400874e+01 2.537189935382259875e+01 1.777397125833377868e+04 9.167946166992188006e-01
1.408378558322750962e+02 1.212837910966962340e+02 1.669362401377269634e+04 9.448631591796875506e-01
5.671029829968263414e+01 4.935971963280680086e+01 8.587652018415323255e+03 7.004959106445312056e-01
1.340410869052330440e+02 1.069017648037843173e+02 1.769215510015832842e+04 9.536642456054686967e-01
1.983862298927974166e+02 1.713799523290991260e+02 3.632849987112608505e+04 8.712566528320312420e-01
1.052717817778239606e+02 5.567415090282084122e+01 3.610664698262282036e+04 8.272924804687500355e-01
2.119886169071675681e+02 1.205586916350082447e+02 2.459771586614691478e+04 9.720200195312499458e-01
4.685129964419877524e+01 1.722921410514705087e+01 4.179132394851358185e+03 9.268349609374999520e-01
