med_mass_1 med_mass_2 med_lum_dist p_PopIII
5.772978676212351274e+02 4.925558727017663614e+02 9.344853191278877784e+04 9.952419433593749920e-01
8.681274528784831546e+02 5.153495952679654692e+02 1.945117457025518524e+05 9.933703002929687997e-01
4.138381844134498806e+02 3.126180283191981175e+02 8.622566343134065391e+04 9.381535644531250329e-01
3.075836119058560598e+02 2.254403479428473815e+02 6.384669910363145755e+04 9.463275146484374512e-01
1.982471874741939928e+02 1.661166662023335050e+02 4.099316368879245420e+04 9.158660888671874556e-01
3.761437704023603033e+02 3.314742948304639185e+02 5.657531535386911128e+04 9.677864990234374964e-01
8.338671394774335965e+01 6.686260003577390876e+01 6.051349287790819290e+03 9.570332031249999538e-01
6.091656449825961062e+01 5.595999088337977412e+01 4.117188669210783701e+03 6.487223510742187171e-01
2.295290458964385607e+02 1.714392422259309114e+02 4.432898326433265902e+04 9.495729980468750053e-01
2.803047781193190531e+02 2.128435739093026200e+02 2.301259264349868681e+04 9.702578124999999831e-01
2.263267637856692431e+02 2.120655957231718958e+02 5.978919971399268252e+04 8.297980957031250160e-01
2.326355535716424185e+02 1.455838831098799915e+02 3.881059549839803367e+04 9.235350952148437820e-01
3.030111577317210276e+02 1.866336864446848836e+02 6.207585881783728109e+04 9.647058105468749867e-01
6.287139145519524419e+01 3.777230424915085649e+01 3.001262015766868717e+04 1.248862075805663996e-01
3.081280316854138164e+02 2.366051841128812043e+02 9.969523582464524952e+04 9.272659301757812944e-01
1.289555228231198214e+02 1.047808861542890213e+02 4.106438855833762500e+04 6.733638916015625142e-01
7.551758488402678040e+02 5.154880769174342277e+02 1.175945411593055760e+05 9.898442993164062731e-01
3.183038157930400303e+02 2.898282011306222898e+02 6.014503759973720298e+04 9.458115234374999680e-01
6.058882902268004500e+01 3.382362197662328640e+01 9.663064041267381981e+03 8.797166748046875151e-01
8.607194474357693252e+02 6.831009797984994520e+02 3.841794984017935349e+04 9.986026611328124858e-01
1.906882315245777022e+02 1.674718401742918559e+02 3.443216412639868213e+04 8.741524658203124742e-01
1.302812641403479006e+02 1.077254234500369137e+02 2.972992494368707776e+04 8.236982421874999849e-01
2.427328067326171777e+02 1.299637296056176297e+02 4.641357794711129827e+04 9.278958129882812766e-01
4.712521357219985703e+02 3.474865054910090407e+02 1.115836882044690428e+05 9.429315185546874867e-01
1.488967930443218961e+02 1.010321369822923145e+02 2.604785405274069126e+04 9.114656372070312207e-01
1.184555644582403318e+02 4.738849669092900285e+01 2.072851559622339119e+04 8.945302734375000231e-01
2.308025563995213076e+02 1.792369912346820229e+02 7.970801067066956603e+04 7.837960205078124964e-01
2.061025264347830444e+02 1.018695832775615884e+02 4.654989518008152663e+04 8.047954101562500018e-01
6.498659475995583534e+01 2.998130605672477600e+01 2.120177292222567485e+04 8.875106811523437722e-01
5.786604317797321073e+02 4.531029214826337466e+02 1.159819933956055320e+05 9.891746826171875506e-01
6.142276430674710497e+01 3.475633627346947918e+01 3.146635802495090957e+03 8.488489379882812047e-01
6.264413527367703693e+01 4.687276678706301425e+01 1.138380930061511754e+04 8.531307373046874698e-01
4.149318884392300788e+02 3.041178290411154990e+02 7.666694012017571367e+04 9.543786621093750533e-01
6.538312880942293077e+02 5.124412911527415417e+02 1.520329084835524263e+05 9.870014648437499538e-01
2.426899704252627146e+02 1.575989173210019771e+02 4.743492890874015575e+04 9.242762451171875338e-01
4.140388033545387998e+02 3.537571253004674645e+02 8.249436106260214001e+04 9.600382080078124769e-01
1.391004690471227718e+02 1.191421503281129759e+02 2.313151817799593482e+04 9.144213256835937997e-01
2.689020541209343946e+02 2.369087707306742629e+02 4.703771064363658661e+04 9.523918457031249618e-01
3.006953216671287237e+02 2.049179118032282076e+02 7.053722813019911700e+04 9.374354248046874449e-01
9.274481901596136879e+01 8.287688181278379318e+01 9.335136586195854761e+03 8.996737060546875497e-01
3.153671457886802045e+02 2.539046686240170061e+02 5.760972376984266884e+04 9.507798461914062083e-01
2.839047031338137685e+02 2.195803152643387079e+02 8.998490747074357932e+04 9.300548095703125018e-01
8.194325902889205508e+02 6.760672831682240940e+02 1.287462301102485508e+05 9.987042846679687891e-01
1.347260155283654512e+02 1.072996618455185569e+02 3.064416668354425929e+04 8.230704345703124813e-01
8.476540719258284184e+01 7.701915988705444249e+01 1.392093537027150523e+04 7.532416992187499494e-01
4.743508794743341923e+02 3.074154655916374281e+02 5.848604564298618789e+04 9.727376098632812829e-01
1.539775839867221237e+02 9.186418719245639863e+01 3.065582970588492390e+04 8.283873291015625417e-01
2.547337655229726181e+02 9.310800881502029824e+01 5.838668989318522654e+04 9.385018310546875409e-01
1.374573508474677794e+02 2.931822194387744318e+01 1.868094743336291867e+04 8.543688354492187109e-01
1.003594278108014635e+02 2.679716148252227015e+01 2.529089810143210343e+04 5.692258911132812571e-01
2.694108436789998677e+02 8.563241232119800372e+01 4.342230812228360446e+04 9.742321777343749822e-01
1.515123022112668423e+02 1.236530885413615124e+02 1.916086333716840454e+04 9.748601684570312731e-01
6.102944255656612995e+02 4.217194453416258284e+02 1.539761588284376194e+05 9.712356567382812722e-01
1.784646054017538006e+02 6.667413413370675812e+01 2.674852049025271845e+04 9.246860351562500302e-01
4.463396802385167348e+02 1.217537001822034881e+02 7.713344710917620978e+04 9.684335937500000435e-01
3.410391886579559468e+02 1.906587426604392306e+02 5.042470079741530935e+04 9.556473388671874458e-01
4.473807815578643954e+02 2.502818117456549771e+02 1.019208391631903360e+05 9.134794921875000195e-01
3.754684597365687750e+02 2.813378269486908039e+02 6.870823995044062031e+04 9.559558715820312136e-01
1.528084851273195852e+02 1.094687782697893823e+02 2.601103248300348787e+04 9.322273559570312118e-01
5.139365841827636814e+02 3.645894431255424024e+02 1.280678572665829561e+05 9.224973144531249947e-01
1.547220876606270963e+02 7.238739390046966093e+01 2.265674397494801451e+04 8.426752929687499893e-01
